"ID" "Subject" "Session" "PGG_Contrib_t" "PGG_PunAss_t" "PGG_PunRec_t" "PGG_Income_t" "PGG_Leader_t" "PGG_LeaPun_t" "PGG_Contrib_1" "PGG_Contrib_2" "PGG_Contrib_3" "PGG_Contrib_4" "PGG_Contrib_5" "PGG_Contrib_6" "PGG_PunAss_1" "PGG_PunAss_2" "PGG_PunAss_3" "PGG_PunAss_4" "PGG_PunAss_5" "PGG_PunAss_6" "PGG_PunRec_1" "PGG_PunRec_2" "PGG_PunRec_3" "PGG_PunRec_4" "PGG_PunRec_5" "PGG_PunRec_6" "PGG_PunAss1_1" "PGG_PunAss1_2" "PGG_PunAss1_3" "PGG_PunAss1_4" "PGG_PunAss1_5" "PGG_PunAss1_6" "PGG_PunAss2_1" "PGG_PunAss2_2" "PGG_PunAss2_3" "PGG_PunAss2_4" "PGG_PunAss2_5" "PGG_PunAss2_6" "PGG_PunAss3_1" "PGG_PunAss3_2" "PGG_PunAss3_3" "PGG_PunAss3_4" "PGG_PunAss3_5" "PGG_PunAss3_6" "PGG_PunAss4_1" "PGG_PunAss4_2" "PGG_PunAss4_3" "PGG_PunAss4_4" "PGG_PunAss4_5" "PGG_PunAss4_6" "PGG_PunRec1_1" "PGG_PunRec1_2" "PGG_PunRec1_3" "PGG_PunRec1_4" "PGG_PunRec1_5" "PGG_PunRec1_6" "PGG_PunRec2_1" "PGG_PunRec2_2" "PGG_PunRec2_3" "PGG_PunRec2_4" "PGG_PunRec2_5" "PGG_PunRec2_6" "PGG_PunRec3_1" "PGG_PunRec3_2" "PGG_PunRec3_3" "PGG_PunRec3_4" "PGG_PunRec3_5" "PGG_PunRec3_6" "PGG_PunRec4_1" "PGG_PunRec4_2" "PGG_PunRec4_3" "PGG_PunRec4_4" "PGG_PunRec4_5" "PGG_PunRec4_6" "PGG_Leader_1" "PGG_Leader_2" "PGG_Leader_3" "PGG_Leader_4" "PGG_Leader_5" "PGG_Leader_6" "PGG_Income_1" "PGG_Income_2" "PGG_Income_3" "PGG_Income_4" "PGG_Income_5" "PGG_Income_6" "PGG_LeaPun_1" "PGG_LeaPun_2" "PGG_LeaPun_3" "PGG_LeaPun_4" "PGG_LeaPun_5" "PGG_LeaPun_6" "UGDG_diff" "DG_Share" "UG_Prop_Offer" "UG_Prop_Acc" "UG_Rec_Offer" "UG_Rec_Acc" "fair_01" "anger_01" "fair_02" "anger_02" "fair_03" "anger_03" "fair_04" "anger_04" "fair_05" "anger_05" "gender" "bmi" "height" "weight" "hunger" "dom_t" "dom_01" "dom_02" "dom_03" "dom_03_rec" "dom_04" "dom_05" "mach_t" "mach_01" "mach_01_rec" "mach_02" "mach_02_rec" "mach_03" "mach_04" "mach_05" "mach_05_rec" "mach_06" "mach_07" "mach_08" "mach_08_rec" "mach_09" "mach_10" "mach_11" "mach_12" "mach_12_rec" "mach_13" "mach_13_rec" "mach_14" "mach_15" "mach_15_rec" "mach_16" "mach_17" "mach_18" "mach_18_rec" "mach_19" "mach_19_rec" "mach_20" "mach_20_rec" "sss_t" "sss_01" "sss_02" "sss_03" "sss_04" "sss_05" "sss_06" "sss_07" "sss_08" "sss_09" "sss_10" "ldom_01" "lalt_01" "lgood_01" "lhon_01" "ldom_02" "lalt_02" "lgood_02" "lhon_02" "ldom_03" "lalt_03" "lgood_03" "lhon_03" "ldom_04" "lalt_04" "lgood_04" "lhon_04"
"11" 11 3 3 104 6 3 108.2 1 22.2 18 18 18 16 18 16 2 0 2 0 2 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 0 0 1 18 18 10.4 20.8 18.8 22.2 0 0 0 0 0 0 0 50 50 1 40 1 5 4 3 3 4 4 3 3 3 5 0 17.398736 181 57 30 3 3 4 2 4 2 2 2.8 5 1 4 2 5 2 3 3 2 4 4 2 1 3 3 5 1 5 1 5 3 3 5 4 3 3 1 5 5 1 7 1 1 0 0 0 1 1 1 1 1 4 5 4 4 4 4 4 4 4 4 4 4 3 1 2 3
"12" 12 4 3 21 12 23 133.2 2 31.2 3 6 0 4 3 5 0 2 6 0 2 2 6 1 8 2 5 1 0 0 2 0 1 1 0 2 2 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 2 1 2 1 1 1 2 0 4 1 2 0 2 0 2 0 2 0 0 0 0 0 0 0 0 0 1 1 0 0 25 25 6.4 26.8 18.8 31.2 0 0 6 0 0 0 40 0 40 1 51 1 3 5 3 5 2 5 3 5 2 5 1 24.280264 186 84 28 2 2 2 4 2 2 2 2.55 5 1 4 2 4 2 4 2 2 4 4 2 1 3 5 4 2 4 2 3 4 2 4 1 2 4 2 4 5 1 6 0 1 0 0 1 1 1 1 1 0 2 2 2 2 2 4 4 4 2 4 3 4 2 2 2 2
"13" 13 1 4 91 37 11 92.8 2 19.4 15 16 15 15 15 15 10 4 4 6 7 6 1 0 1 8 1 0 0 0 0 0 0 0 0 0 1 2 2 2 0 4 0 2 2 2 10 0 3 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 1 0 1 0 0 4 0 0 0 0 1 1 0 0 13.4 15.2 22.4 22.4 0 19.4 0 0 4 6 0 0 0 50 50 1 50 1 2 2 3 5 4 2 4 2 3 3 0 17.361111 168 49 36 2 2 2 4 2 2 2 2.8 2 4 3 3 3 2 5 1 4 4 4 2 1 2 2 2 4 4 2 4 4 2 1 4 1 5 1 5 5 1 7 1 0 1 1 1 1 0 1 1 0 1 1 2 1 1 5 4 5 1 5 5 5 1 1 1 1
"14" 14 2 4 93 4 11 121.8 2 22.4 17 14 14 16 16 16 3 1 0 0 0 0 1 0 4 2 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 3 0 0 0 0 0 0 0 1 2 2 2 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 0 0 0 0 0 0 0 1 1 18.4 20.2 18.4 18.4 24 22.4 0 0 0 0 0 0 39 10 49 1 55 1 2 3 3 4 4 2 4 2 4 2 0 16.528926 165 45 5 1.2 1 1 4 2 1 1 2.7 3 3 4 2 4 2 5 1 2 3 4 2 2 2 3 4 2 4 2 4 3 3 3 3 2 4 1 5 4 2 4 0 0 0 0 0 0 1 1 1 1 2 3 2 2 2 4 2 2 2 3 4 4 2 4 1 1
"15" 15 3 4 92 15 14 106.8 1 19.4 20 5 20 16 16 15 3 0 5 4 3 0 1 6 1 2 2 2 0 0 1 4 1 0 0 0 1 0 0 0 0 0 0 0 0 0 3 0 3 0 2 0 0 4 0 2 2 2 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 1 0 0 0 0 18.4 17.2 16.4 16.4 19 19.4 0 0 0 0 0 0 5 50 55 1 50 1 4 2 3 2 2 3 2 2 2 2 0 18.496499 174 56 75 1 1 1 5 1 1 1 2.5 5 1 5 1 2 4 2 4 1 4 5 1 2 1 4 2 4 5 1 4 2 4 2 2 4 2 1 5 5 1 5 1 0 0 0 0 1 1 1 1 0 2 2 2 2 2 5 4 5 2 5 4 5 2 1 2 1
"16" 16 4 4 73 11 31 69.6 1 15.4 6 12 12 14 14 15 3 1 3 4 0 0 16 0 6 2 5 2 1 0 0 4 0 0 1 0 2 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 10 0 3 2 3 2 3 0 0 0 0 0 3 0 3 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 14.4 -3 11.4 11.4 20 15.4 3 0 0 0 0 0 0 50 50 1 49 1 2 3 3 3 4 3 2 3 2 3 1 20.284532 191 74 67 2.2 2 2 3 3 1 3 2.6 4 2 4 2 3 4 4 2 2 3 4 2 3 3 5 4 2 5 1 3 5 1 3 1 3 3 2 4 3 3 4 0 0 0 0 0 0 1 1 1 1 3 4 3 3 3 2 2 3 3 5 4 4 3 3 2 1
"17" 17 1 5 120 10 0 174 3 14 20 20 20 20 20 20 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 32 32 32 32 32 14 0 0 0 0 0 0 30 0 30 1 90 1 2 4 1 5 1 5 1 5 1 5 1 21.606648 190 78 96 2 2 2 4 2 2 2 2.8 4 2 2 4 3 2 4 2 2 5 4 2 3 2 5 4 2 5 1 3 3 3 4 4 2 4 4 2 5 1 7 1 0 1 0 0 1 1 1 1 1 1 4 1 1 3 3 5 5 1 5 5 5 3 1 1 1
"18" 18 2 5 100 0 15 160 0 0 20 20 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 32 32 32 32 32 0 0 0 0 0 0 0 0 100 100 1 50 1 1 5 1 5 3 4 1 5 2 4 0 17.1875 160 44 100 1.2 1 1 4 2 1 1 2.8 4 2 5 1 2 5 3 3 3 3 4 2 2 3 4 2 4 4 2 3 4 2 4 4 3 3 3 3 5 1 4 0 0 0 1 0 0 1 1 0 1 1 2 3 1 1 5 3 5 1 5 5 5 1 1 1 1
"19" 19 3 5 120 0 0 184 2 24 20 20 20 20 20 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 32 32 32 32 32 24 0 0 0 0 0 0 0 50 50 1 30 1 2 5 1 5 3 3 3 3 3 3 0 19.835163 171 58 77 2 1 2 3 3 1 3 2.3 4 2 5 1 3 2 5 1 1 4 4 2 1 1 4 4 2 5 1 2 3 3 4 3 3 3 2 4 4 2 4 0 0 1 0 0 0 1 1 0 1 3 4 4 3 4 3 3 5 2 4 3 4 4 4 2 3
"20" 20 4 5 120 5 0 179 1 19 20 20 20 20 20 20 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 32 32 32 32 32 19 0 0 0 0 0 0 40 50 90 1 100 1 1 2 1 3 3 3 3 3 3 3 1 21.499597 183 72 100 1.8 1 2 4 2 1 3 2.9 4 2 5 1 4 2 5 1 2 4 4 2 2 1 5 5 1 2 4 5 2 4 5 1 3 3 2 4 1 5 5 0 0 0 1 0 1 1 1 1 0 1 2 2 2 1 5 5 5 1 5 5 5 2 1 2 1
